name,country,lat,lon
New York,United States,40.7128,-74.0060
Los Angeles,United States,34.0522,-118.2437
Chicago,United States,41.8781,-87.6298
San Francisco,United States,37.7749,-122.4194
Seattle,United States,47.6062,-122.3321
Boston,United States,42.3601,-71.0589
Miami,United States,25.7617,-80.1918
Atlanta,United States,33.7490,-84.3880
Denver,United States,39.7392,-104.9903
Dallas,United States,32.7767,-96.7970
Toronto,Canada,43.6532,-79.3832
Vancouver,Canada,49.2827,-123.1207
Mexico City,Mexico,19.4326,-99.1332
Sao Paulo,Brazil,-23.5505,-46.6333
Buenos Aires,Argentina,-34.6037,-58.3816
Bogota,Colombia,4.7110,-74.0721
London,United Kingdom,51.5074,-0.1278
Paris,France,48.8566,2.3522
Amsterdam,Netherlands,52.3676,4.9041
Frankfurt,Germany,50.1109,8.6821
Munich,Germany,48.1351,11.5820
Berlin,Germany,52.5200,13.4050
Madrid,Spain,40.4168,-3.7038
Barcelona,Spain,41.3874,2.1686
Rome,Italy,41.9028,12.4964
Milan,Italy,45.4642,9.1900
Zurich,Switzerland,47.3769,8.5417
Vienna,Austria,48.2082,16.3738
Copenhagen,Denmark,55.6761,12.5683
Stockholm,Sweden,59.3293,18.0686
Oslo,Norway,59.9139,10.7522
Helsinki,Finland,60.1699,24.9384
Dublin,Ireland,53.3498,-6.2603
Lisbon,Portugal,38.7223,-9.1393
Athens,Greece,37.9838,23.7275
Istanbul,Turkey,41.0082,28.9784
Moscow,Russia,55.7558,37.6173
Dubai,United Arab Emirates,25.2048,55.2708
Doha,Qatar,25.2854,51.5310
Delhi,India,28.7041,77.1025
Mumbai,India,19.0760,72.8777
Bangalore,India,12.9716,77.5946
Singapore,Singapore,1.3521,103.8198
Bangkok,Thailand,13.7563,100.5018
Kuala Lumpur,Malaysia,3.1390,101.6869
Jakarta,Indonesia,-6.2088,106.8456
Hong Kong,Hong Kong,22.3193,114.1694
Shanghai,China,31.2304,121.4737
Beijing,China,39.9042,116.4074
Guangzhou,China,23.1291,113.2644
Tokyo,Japan,35.6762,139.6503
Seoul,South Korea,37.5665,126.9780
Taipei,Taiwan,25.0330,121.5654
Manila,Philippines,14.5995,120.9842
Sydney,Australia,-33.8688,151.2093
Melbourne,Australia,-37.8136,144.9631
Auckland,New Zealand,-36.8485,174.7633
Johannesburg,South Africa,-26.2041,28.0473
Cape Town,South Africa,-33.9249,18.4241
Cairo,Egypt,30.0444,31.2357
Nairobi,Kenya,-1.2921,36.8219
Lagos,Nigeria,6.5244,3.3792
Casablanca,Morocco,33.5731,-7.5898
Tel Aviv,Israel,32.0853,34.7818
